zcmb,zhel,mb,e_mb,x1,e_x1,c,e_c,logMst
0.293,0.2944,21.784,0.119,0.576,0.658,0.031,0.046,9.603
0.059,0.06,17.862,0.115,1.071,0.121,-0.05,0.026,8.744
0.103,0.1047,19.374,0.112,-1.413,0.069,-0.057,0.021,11.161
0.215,0.216,20.885,0.114,-0.183,0.278,-0.098,0.033,8.474
0.155,0.1564,20.386,0.118,-0.606,0.245,-0.052,0.034,9.701
0.32,0.322,21.538,0.117,0.677,0.579,-0.17,0.04,8.949
0.391,0.393,22.096,0.149,0.145,0.849,-0.135,0.07,11.14
0.155,0.1561,19.867,0.112,1.893,0.198,-0.049,0.022,8.939
0.12,0.121,19.649,0.112,0.253,0.097,0.005,0.022,8.749
0.25,0.2516,20.967,0.117,1.161,0.379,-0.148,0.038,10.449
0.12,0.121,20.32,0.113,0.743,0.166,0.166,0.027,9.6
0.378,0.38,22.422,0.135,-0.961,0.712,-0.25,0.061,11.371
0.258,0.2595,21.525,0.117,0.455,0.634,0.036,0.043,9.208
0.263,0.265,21.15,0.116,0.99,0.318,-0.171,0.04,9.007
0.139,0.14,19.983,0.119,0.837,0.363,-0.068,0.029,8.2
0.254,0.255,21.385,0.124,-1.04,0.379,-0.172,0.05,10.917
0.154,0.155,20.241,0.115,0.16,0.22,-0.043,0.028,9.261
0.198,0.1994,20.949,0.115,-1.339,0.278,0.011,0.034,11.26
0.155,0.156,19.97,0.172,-0.197,0.42,-0.122,0.066,10.642
0.38,0.3819,22.2,0.138,-1.51,0.873,-0.206,0.085,10.689
0.212,0.2132,21.775,0.125,-1.88,0.548,0.045,0.057,9.752
0.223,0.224,21.024,0.115,0.685,0.287,-0.033,0.037,8.926
0.294,0.296,22.401,0.141,1.173,0.944,0.173,0.071,10.19
0.13,0.1308,20.117,0.112,0.679,0.107,0.147,0.023,10.414
0.212,0.213,20.831,0.114,0.077,0.235,-0.02,0.032,8.975
0.014,0.015,14.844,0.157,-0.014,0.208,0.05,0.038,10.156
0.049,0.0499,17.076,0.139,0.749,0.121,-0.038,0.028,7.892
0.089,0.0902,19.115,0.113,-0.548,0.079,0.049,0.023,10.171
0.279,0.2807,21.551,0.119,-1.52,0.54,-0.017,0.046,11.251
0.252,0.254,21.349,0.127,0.872,0.594,0.016,0.051,8.58
0.211,0.212,20.792,0.114,0.42,0.264,-0.015,0.033,9.864
0.183,0.184,20.273,0.112,0.809,0.211,-0.105,0.024,9.398
0.149,0.15,19.97,0.112,0.509,0.287,-0.098,0.025,9.512
0.088,0.0892,18.826,0.113,-0.319,0.24,-0.051,0.024,11.214
